REG,Région,DEP,Commune,Population
84,Auvergne-Rhône-Alpes,1.0,Entreprise_1,859
84,Auvergne-Rhône-Alpes,1.0,Entreprise_2,273
84,Auvergne-Rhône-Alpes,1.0,Entreprise_3,15554
84,Auvergne-Rhône-Alpes,1.0,Entreprise_4,1917
84,Auvergne-Rhône-Alpes,1.0,Entreprise_5,114
84,Auvergne-Rhône-Alpes,1.0,Entreprise_6,2828
84,Auvergne-Rhône-Alpes,1.0,Entreprise_7,764
84,Auvergne-Rhône-Alpes,1.0,Entreprise_8,335
84,Auvergne-Rhône-Alpes,1.0,Entreprise_9,1150
84,Auvergne-Rhône-Alpes,1.0,Entreprise_10,399
84,Auvergne-Rhône-Alpes,1.0,Entreprise_11,329
84,Auvergne-Rhône-Alpes,1.0,Entreprise_12,140
84,Auvergne-Rhône-Alpes,1.0,Entreprise_13,3482
84,Auvergne-Rhône-Alpes,1.0,Entreprise_14,688
84,Auvergne-Rhône-Alpes,1.0,Entreprise_15,459
84,Auvergne-Rhône-Alpes,1.0,Entreprise_16,420
84,Auvergne-Rhône-Alpes,1.0,Entreprise_17,25
84,Auvergne-Rhône-Alpes,1.0,Entreprise_18,1513
84,Auvergne-Rhône-Alpes,1.0,Entreprise_19,1141
84,Auvergne-Rhône-Alpes,1.0,Entreprise_20,77
84,Auvergne-Rhône-Alpes,1.0,Entreprise_21,3372
84,Auvergne-Rhône-Alpes,1.0,Entreprise_22,4057
84,Auvergne-Rhône-Alpes,1.0,Entreprise_23,987
84,Auvergne-Rhône-Alpes,1.0,Entreprise_24,2878
84,Auvergne-Rhône-Alpes,1.0,Entreprise_25,618
84,Auvergne-Rhône-Alpes,1.0,Entreprise_26,717
84,Auvergne-Rhône-Alpes,1.0,Entreprise_27,826
84,Auvergne-Rhône-Alpes,1.0,Entreprise_28,3581
84,Auvergne-Rhône-Alpes,1.0,Entreprise_29,3484
84,Auvergne-Rhône-Alpes,1.0,Entreprise_30,16162
84,Auvergne-Rhône-Alpes,1.0,Entreprise_31,9270
84,Auvergne-Rhône-Alpes,1.0,Entreprise_32,306
84,Auvergne-Rhône-Alpes,1.0,Entreprise_33,1350
84,Auvergne-Rhône-Alpes,1.0,Entreprise_34,311
84,Auvergne-Rhône-Alpes,1.0,Entreprise_35,769
84,Auvergne-Rhône-Alpes,1.0,Entreprise_36,481
84,Auvergne-Rhône-Alpes,1.0,Entreprise_37,762
84,Auvergne-Rhône-Alpes,1.0,Entreprise_38,290
84,Auvergne-Rhône-Alpes,1.0,Entreprise_39,4936
84,Auvergne-Rhône-Alpes,1.0,Entreprise_40,669
84,Auvergne-Rhône-Alpes,1.0,Entreprise_41,280
84,Auvergne-Rhône-Alpes,1.0,Entreprise_42,897
84,Auvergne-Rhône-Alpes,1.0,Entreprise_43,1351
84,Auvergne-Rhône-Alpes,1.0,Entreprise_44,3401
84,Auvergne-Rhône-Alpes,1.0,Entreprise_45,390
84,Auvergne-Rhône-Alpes,1.0,Entreprise_46,99
84,Auvergne-Rhône-Alpes,1.0,Entreprise_47,323
